threshold,precision,recall,f1,tp,fp,fn,tn
0.0,0.034,1.0,0.06576402321083172,68,1932,0,0
0.01,0.34831460674157305,0.9117647058823529,0.5040650406504065,62,116,6,1816
0.02,0.4357142857142857,0.8970588235294118,0.5865384615384616,61,79,7,1853
0.03,0.4918032786885246,0.8823529411764706,0.631578947368421,60,62,8,1870
0.04,0.5132743362831859,0.8529411764705882,0.6408839779005525,58,55,10,1877
0.05,0.5420560747663551,0.8529411764705882,0.6628571428571428,58,49,10,1883
0.06,0.57,0.8382352941176471,0.6785714285714286,57,43,11,1889
0.07,0.6195652173913043,0.8382352941176471,0.7125,57,35,11,1897
0.08,0.6436781609195402,0.8235294117647058,0.7225806451612903,56,31,12,1901
0.09,0.691358024691358,0.8235294117647058,0.7516778523489933,56,25,12,1907
0.1,0.717948717948718,0.8235294117647058,0.7671232876712328,56,22,12,1910
0.11,0.7123287671232876,0.7647058823529411,0.7375886524822695,52,21,16,1911
0.12,0.7536231884057971,0.7647058823529411,0.7591240875912408,52,17,16,1915
0.13,0.7647058823529411,0.7647058823529411,0.7647058823529411,52,16,16,1916
0.14,0.7878787878787878,0.7647058823529411,0.7761194029850746,52,14,16,1918
0.15,0.7878787878787878,0.7647058823529411,0.7761194029850746,52,14,16,1918
0.16,0.8,0.7647058823529411,0.7819548872180451,52,13,16,1919
0.17,0.8,0.7647058823529411,0.7819548872180451,52,13,16,1919
0.18,0.8,0.7647058823529411,0.7819548872180451,52,13,16,1919
0.19,0.8125,0.7647058823529411,0.7878787878787878,52,12,16,1920
0.2,0.819672131147541,0.7352941176470589,0.7751937984496124,50,11,18,1921
0.21,0.8166666666666667,0.7205882352941176,0.765625,49,11,19,1921
0.22,0.8135593220338984,0.7058823529411765,0.7559055118110236,48,11,20,1921
0.23,0.8421052631578947,0.7058823529411765,0.768,48,9,20,1923
0.24,0.8392857142857143,0.6911764705882353,0.7580645161290323,47,9,21,1923
0.25,0.8703703703703703,0.6911764705882353,0.7704918032786885,47,7,21,1925
0.26,0.8703703703703703,0.6911764705882353,0.7704918032786885,47,7,21,1925
0.27,0.8867924528301887,0.6911764705882353,0.7768595041322314,47,6,21,1926
0.28,0.8867924528301887,0.6911764705882353,0.7768595041322314,47,6,21,1926
0.29,0.8867924528301887,0.6911764705882353,0.7768595041322314,47,6,21,1926
0.3,0.8846153846153846,0.6764705882352942,0.7666666666666667,46,6,22,1926
0.31,0.8846153846153846,0.6764705882352942,0.7666666666666667,46,6,22,1926
0.32,0.88,0.6470588235294118,0.7457627118644068,44,6,24,1926
0.33,0.88,0.6470588235294118,0.7457627118644068,44,6,24,1926
0.34,0.8979591836734694,0.6470588235294118,0.7521367521367521,44,5,24,1927
0.35000000000000003,0.8979591836734694,0.6470588235294118,0.7521367521367521,44,5,24,1927
0.36,0.8958333333333334,0.6323529411764706,0.7413793103448276,43,5,25,1927
0.37,0.8936170212765957,0.6176470588235294,0.7304347826086957,42,5,26,1927
0.38,0.9111111111111111,0.6029411764705882,0.7256637168141593,41,4,27,1928
0.39,0.9111111111111111,0.6029411764705882,0.7256637168141593,41,4,27,1928
0.4,0.9111111111111111,0.6029411764705882,0.7256637168141593,41,4,27,1928
0.41000000000000003,0.9302325581395349,0.5882352941176471,0.7207207207207207,40,3,28,1929
0.42,0.9285714285714286,0.5735294117647058,0.7090909090909091,39,3,29,1929
0.43,0.9285714285714286,0.5735294117647058,0.7090909090909091,39,3,29,1929
0.44,0.926829268292683,0.5588235294117647,0.6972477064220184,38,3,30,1929
0.45,0.926829268292683,0.5588235294117647,0.6972477064220184,38,3,30,1929
0.46,0.926829268292683,0.5588235294117647,0.6972477064220184,38,3,30,1929
0.47000000000000003,0.925,0.5441176470588235,0.6851851851851852,37,3,31,1929
0.48,0.9230769230769231,0.5294117647058824,0.6728971962616822,36,3,32,1929
0.49,0.9230769230769231,0.5294117647058824,0.6728971962616822,36,3,32,1929
0.5,0.9210526315789473,0.5147058823529411,0.660377358490566,35,3,33,1929
0.51,0.918918918918919,0.5,0.6476190476190476,34,3,34,1929
0.52,0.918918918918919,0.5,0.6476190476190476,34,3,34,1929
0.53,0.918918918918919,0.5,0.6476190476190476,34,3,34,1929
0.54,0.918918918918919,0.5,0.6476190476190476,34,3,34,1929
0.55,0.918918918918919,0.5,0.6476190476190476,34,3,34,1929
0.56,0.918918918918919,0.5,0.6476190476190476,34,3,34,1929
0.5700000000000001,0.918918918918919,0.5,0.6476190476190476,34,3,34,1929
0.58,0.9166666666666666,0.4852941176470588,0.6346153846153846,33,3,35,1929
0.59,0.9166666666666666,0.4852941176470588,0.6346153846153846,33,3,35,1929
0.6,0.9166666666666666,0.4852941176470588,0.6346153846153846,33,3,35,1929
0.61,0.9142857142857143,0.47058823529411764,0.6213592233009708,32,3,36,1929
0.62,0.9411764705882353,0.47058823529411764,0.6274509803921569,32,2,36,1930
