threshold,precision,recall,f1,tp,fp,fn,tn
0.0,0.034,1.0,0.06576402321083172,68,1932,0,0
0.01,0.03517847904811174,1.0,0.06796601699150424,68,1865,0,67
0.02,0.03761061946902655,1.0,0.07249466950959488,68,1740,0,192
0.03,0.04002354326074161,1.0,0.07696661007357103,68,1631,0,301
0.04,0.04146039603960396,0.9852941176470589,0.07957244655581948,67,1549,1,383
0.05,0.04370515329419439,0.9852941176470589,0.08369768894440974,67,1466,1,466
0.06,0.04579630895420369,0.9852941176470589,0.08752449379490529,67,1396,1,536
0.07,0.04806312769010043,0.9852941176470589,0.09165526675786594,67,1327,1,605
0.08,0.05003734129947722,0.9852941176470589,0.09523809523809523,67,1272,1,660
0.09,0.05132192846034215,0.9705882352941176,0.09748892171344166,66,1220,2,712
0.1,0.05310457516339869,0.9558823529411765,0.10061919504643962,65,1159,3,773
0.11,0.05434782608695652,0.9558823529411765,0.10284810126582279,65,1131,3,801
0.12,0.05657093124456049,0.9558823529411765,0.10682004930156122,65,1084,3,848
0.13,0.05941499085923217,0.9558823529411765,0.11187607573149742,65,1029,3,903
0.14,0.06132075471698113,0.9558823529411765,0.11524822695035461,65,995,3,937
0.15,0.06274131274131274,0.9558823529411765,0.11775362318840579,65,971,3,961
0.16,0.06387225548902195,0.9411764705882353,0.11962616822429907,64,938,4,994
0.17,0.06625258799171843,0.9411764705882353,0.12379110251450677,64,902,4,1030
0.18,0.06852248394004283,0.9411764705882353,0.1277445109780439,64,870,4,1062
0.19,0.07032967032967033,0.9411764705882353,0.130879345603272,64,846,4,1086
0.2,0.07078651685393259,0.9264705882352942,0.1315240083507307,63,827,5,1105
0.21,0.07224770642201835,0.9264705882352942,0.13404255319148936,63,809,5,1123
0.22,0.0743801652892562,0.9264705882352942,0.1377049180327869,63,784,5,1148
0.23,0.07682926829268293,0.9264705882352942,0.14189189189189189,63,757,5,1175
0.24,0.07835820895522388,0.9264705882352942,0.1444954128440367,63,741,5,1191
0.25,0.07898089171974522,0.9117647058823529,0.14536928487690504,62,723,6,1209
0.26,0.08168642951251646,0.9117647058823529,0.14993954050785974,62,697,6,1235
0.27,0.08401084010840108,0.9117647058823529,0.15384615384615385,62,676,6,1256
0.28,0.08623087621696801,0.9117647058823529,0.15756035578144853,62,657,6,1275
0.29,0.08908045977011494,0.9117647058823529,0.16230366492146597,62,634,6,1298
0.3,0.0898379970544919,0.8970588235294118,0.16331994645247658,61,618,7,1314
0.31,0.0915915915915916,0.8970588235294118,0.16621253405994552,61,605,7,1327
0.32,0.09486780715396578,0.8970588235294118,0.17158931082981715,61,582,7,1350
0.33,0.09807073954983923,0.8970588235294118,0.17681159420289855,61,561,7,1371
0.34,0.09967320261437909,0.8970588235294118,0.17941176470588235,61,551,7,1381
