threshold,precision,recall,f1,tp,fp,fn,tn
0.0,0.034,1.0,0.06576402321083172,68,1932,0,0
0.01,0.07654921020656136,0.9264705882352942,0.1414141414141414,63,760,5,1172
0.02,0.10564663023679417,0.8529411764705882,0.1880064829821718,58,491,10,1441
0.03,0.12,0.75,0.20689655172413793,51,374,17,1558
0.04,0.1392757660167131,0.7352941176470589,0.234192037470726,50,309,18,1623
0.05,0.15562913907284767,0.6911764705882353,0.25405405405405407,47,255,21,1677
0.06,0.1828793774319066,0.6911764705882353,0.28923076923076924,47,210,21,1722
0.07,0.20909090909090908,0.6764705882352942,0.3194444444444444,46,174,22,1758
0.08,0.22916666666666666,0.6470588235294118,0.3384615384615385,44,148,24,1784
0.09,0.25,0.6470588235294118,0.36065573770491804,44,132,24,1800
0.1,0.27044025157232704,0.6323529411764706,0.3788546255506608,43,116,25,1816
0.11,0.2896551724137931,0.6176470588235294,0.39436619718309857,42,103,26,1829
0.12,0.3178294573643411,0.6029411764705882,0.41624365482233505,41,88,27,1844
0.13,0.33884297520661155,0.6029411764705882,0.43386243386243384,41,80,27,1852
0.14,0.35964912280701755,0.6029411764705882,0.45054945054945056,41,73,27,1859
0.15,0.36893203883495146,0.5588235294117647,0.4444444444444444,38,65,30,1867
0.16,0.3958333333333333,0.5588235294117647,0.4634146341463415,38,58,30,1874
0.17,0.4175824175824176,0.5588235294117647,0.4779874213836478,38,53,30,1879
0.18,0.4318181818181818,0.5588235294117647,0.48717948717948717,38,50,30,1882
0.19,0.4418604651162791,0.5588235294117647,0.4935064935064935,38,48,30,1884
0.2,0.4470588235294118,0.5588235294117647,0.49673202614379086,38,47,30,1885
0.21,0.45,0.5294117647058824,0.4864864864864865,36,44,32,1888
0.22,0.47297297297297297,0.5147058823529411,0.49295774647887325,35,39,33,1893
0.23,0.4722222222222222,0.5,0.4857142857142857,34,38,34,1894
0.24,0.47761194029850745,0.47058823529411764,0.4740740740740741,32,35,36,1897
0.25,0.5,0.45588235294117646,0.47692307692307695,31,31,37,1901
0.26,0.5263157894736842,0.4411764705882353,0.48,30,27,38,1905
0.27,0.5471698113207547,0.4264705882352941,0.4793388429752066,29,24,39,1908
0.28,0.5384615384615384,0.4117647058823529,0.4666666666666667,28,24,40,1908
0.29,0.5510204081632653,0.39705882352941174,0.46153846153846156,27,22,41,1910
0.3,0.5217391304347826,0.35294117647058826,0.42105263157894735,24,22,44,1910
0.31,0.5476190476190477,0.3382352941176471,0.41818181818181815,23,19,45,1913
0.32,0.55,0.3235294117647059,0.4074074074074074,22,18,46,1914
0.33,0.5789473684210527,0.3235294117647059,0.41509433962264153,22,16,46,1916
0.34,0.5789473684210527,0.3235294117647059,0.41509433962264153,22,16,46,1916
0.35000000000000003,0.5833333333333334,0.3088235294117647,0.40384615384615385,21,15,47,1917
0.36,0.6363636363636364,0.3088235294117647,0.4158415841584158,21,12,47,1920
0.37,0.6129032258064516,0.27941176470588236,0.3838383838383838,19,12,49,1920
0.38,0.6551724137931034,0.27941176470588236,0.3917525773195876,19,10,49,1922
0.39,0.6538461538461539,0.25,0.3617021276595745,17,9,51,1923
0.4,0.6538461538461539,0.25,0.3617021276595745,17,9,51,1923
0.41000000000000003,0.6666666666666666,0.23529411764705882,0.34782608695652173,16,8,52,1924
0.42,0.6666666666666666,0.23529411764705882,0.34782608695652173,16,8,52,1924
0.43,0.6666666666666666,0.23529411764705882,0.34782608695652173,16,8,52,1924
0.44,0.7142857142857143,0.22058823529411764,0.33707865168539325,15,6,53,1926
0.45,0.7894736842105263,0.22058823529411764,0.3448275862068966,15,4,53,1928
0.46,0.7777777777777778,0.20588235294117646,0.32558139534883723,14,4,54,1928
0.47000000000000003,0.8666666666666667,0.19117647058823528,0.3132530120481928,13,2,55,1930
0.48,0.8571428571428571,0.17647058823529413,0.2926829268292683,12,2,56,1930
0.49,0.8333333333333334,0.14705882352941177,0.25,10,2,58,1930
0.5,0.8181818181818182,0.1323529411764706,0.22784810126582278,9,2,59,1930
0.51,0.9,0.1323529411764706,0.23076923076923078,9,1,59,1931
0.52,0.9,0.1323529411764706,0.23076923076923078,9,1,59,1931
0.53,0.9,0.1323529411764706,0.23076923076923078,9,1,59,1931
0.54,0.9,0.1323529411764706,0.23076923076923078,9,1,59,1931
0.55,0.9,0.1323529411764706,0.23076923076923078,9,1,59,1931
0.56,0.9,0.1323529411764706,0.23076923076923078,9,1,59,1931
0.5700000000000001,0.9,0.1323529411764706,0.23076923076923078,9,1,59,1931
0.58,0.8888888888888888,0.11764705882352941,0.2077922077922078,8,1,60,1931
0.59,0.8888888888888888,0.11764705882352941,0.2077922077922078,8,1,60,1931
0.6,0.8888888888888888,0.11764705882352941,0.2077922077922078,8,1,60,1931
0.61,0.8888888888888888,0.11764705882352941,0.2077922077922078,8,1,60,1931
0.62,0.8888888888888888,0.11764705882352941,0.2077922077922078,8,1,60,1931
0.63,0.8888888888888888,0.11764705882352941,0.2077922077922078,8,1,60,1931
0.64,0.8888888888888888,0.11764705882352941,0.2077922077922078,8,1,60,1931
0.65,0.8888888888888888,0.11764705882352941,0.2077922077922078,8,1,60,1931
0.66,0.8888888888888888,0.11764705882352941,0.2077922077922078,8,1,60,1931
0.67,0.875,0.10294117647058823,0.18421052631578946,7,1,61,1931
0.68,0.8333333333333334,0.07352941176470588,0.13513513513513514,5,1,63,1931
0.6900000000000001,1.0,0.07352941176470588,0.136986301369863,5,0,63,1932
0.7000000000000001,1.0,0.07352941176470588,0.136986301369863,5,0,63,1932
0.71,1.0,0.07352941176470588,0.136986301369863,5,0,63,1932
0.72,1.0,0.07352941176470588,0.136986301369863,5,0,63,1932
0.73,1.0,0.07352941176470588,0.136986301369863,5,0,63,1932
0.74,1.0,0.07352941176470588,0.136986301369863,5,0,63,1932
0.75,1.0,0.07352941176470588,0.136986301369863,5,0,63,1932
0.76,1.0,0.07352941176470588,0.136986301369863,5,0,63,1932
0.77,1.0,0.07352941176470588,0.136986301369863,5,0,63,1932
0.78,1.0,0.07352941176470588,0.136986301369863,5,0,63,1932
0.79,1.0,0.058823529411764705,0.1111111111111111,4,0,64,1932
0.8,1.0,0.058823529411764705,0.1111111111111111,4,0,64,1932
0.81,1.0,0.058823529411764705,0.1111111111111111,4,0,64,1932
0.8200000000000001,1.0,0.04411764705882353,0.08450704225352113,3,0,65,1932
0.8300000000000001,1.0,0.04411764705882353,0.08450704225352113,3,0,65,1932
0.84,1.0,0.04411764705882353,0.08450704225352113,3,0,65,1932
0.85,1.0,0.04411764705882353,0.08450704225352113,3,0,65,1932
0.86,1.0,0.04411764705882353,0.08450704225352113,3,0,65,1932
0.87,1.0,0.04411764705882353,0.08450704225352113,3,0,65,1932
0.88,1.0,0.029411764705882353,0.05714285714285714,2,0,66,1932
0.89,1.0,0.029411764705882353,0.05714285714285714,2,0,66,1932
0.9,1.0,0.029411764705882353,0.05714285714285714,2,0,66,1932
0.91,1.0,0.029411764705882353,0.05714285714285714,2,0,66,1932
0.92,1.0,0.029411764705882353,0.05714285714285714,2,0,66,1932
0.93,1.0,0.029411764705882353,0.05714285714285714,2,0,66,1932
0.9400000000000001,1.0,0.029411764705882353,0.05714285714285714,2,0,66,1932
0.9500000000000001,0.0,0.0,0.0,0,0,68,1932
0.96,0.0,0.0,0.0,0,0,68,1932
0.97,0.0,0.0,0.0,0,0,68,1932
0.98,0.0,0.0,0.0,0,0,68,1932
0.99,0.0,0.0,0.0,0,0,68,1932
1.0,0.0,0.0,0.0,0,0,68,1932
