threshold,precision,recall,f1,tp,fp,fn,tn
0.0,0.034,1.0,0.06576402321083172,68,1932,0,0
0.01,0.11607142857142858,0.9558823529411765,0.2070063694267516,65,495,3,1437
0.02,0.1724137931034483,0.9558823529411765,0.29213483146067415,65,312,3,1620
0.03,0.2222222222222222,0.9411764705882353,0.3595505617977528,64,224,4,1708
0.04,0.25196850393700787,0.9411764705882353,0.39751552795031053,64,190,4,1742
0.05,0.27312775330396477,0.9117647058823529,0.42033898305084744,62,165,6,1767
0.06,0.3054187192118227,0.9117647058823529,0.4575645756457565,62,141,6,1791
0.07,0.33695652173913043,0.9117647058823529,0.49206349206349204,62,122,6,1810
0.08,0.36257309941520466,0.9117647058823529,0.5188284518828452,62,109,6,1823
0.09,0.37888198757763975,0.8970588235294118,0.5327510917030568,61,100,7,1832
0.1,0.40268456375838924,0.8823529411764706,0.5529953917050692,60,89,8,1843
0.11,0.4306569343065693,0.8676470588235294,0.5756097560975609,59,78,9,1854
0.12,0.45384615384615384,0.8676470588235294,0.5959595959595959,59,71,9,1861
0.13,0.4796747967479675,0.8676470588235294,0.6178010471204188,59,64,9,1868
0.14,0.4956521739130435,0.8382352941176471,0.6229508196721312,57,58,11,1874
0.15,0.5229357798165137,0.8382352941176471,0.6440677966101694,57,52,11,1880
0.16,0.5283018867924528,0.8235294117647058,0.6436781609195402,56,50,12,1882
0.17,0.5544554455445545,0.8235294117647058,0.6627218934911243,56,45,12,1887
0.18,0.5714285714285714,0.8235294117647058,0.6746987951807228,56,42,12,1890
0.19,0.5978260869565217,0.8088235294117647,0.6875,55,37,13,1895
0.2,0.6111111111111112,0.8088235294117647,0.6962025316455697,55,35,13,1897
0.21,0.632183908045977,0.8088235294117647,0.7096774193548387,55,32,13,1900
0.22,0.6395348837209303,0.8088235294117647,0.7142857142857143,55,31,13,1901
0.23,0.6395348837209303,0.8088235294117647,0.7142857142857143,55,31,13,1901
0.24,0.6395348837209303,0.8088235294117647,0.7142857142857143,55,31,13,1901
0.25,0.6463414634146342,0.7794117647058824,0.7066666666666667,53,29,15,1903
0.26,0.65,0.7647058823529411,0.7027027027027027,52,28,16,1904
0.27,0.6712328767123288,0.7205882352941176,0.6950354609929078,49,24,19,1908
0.28,0.7101449275362319,0.7205882352941176,0.7153284671532847,49,20,19,1912
0.29,0.734375,0.6911764705882353,0.7121212121212122,47,17,21,1915
0.3,0.746031746031746,0.6911764705882353,0.7175572519083969,47,16,21,1916
0.31,0.7796610169491526,0.6764705882352942,0.7244094488188977,46,13,22,1919
0.32,0.7796610169491526,0.6764705882352942,0.7244094488188977,46,13,22,1919
0.33,0.8035714285714286,0.6617647058823529,0.7258064516129032,45,11,23,1921
0.34,0.8333333333333334,0.6617647058823529,0.7377049180327869,45,9,23,1923
0.35000000000000003,0.8653846153846154,0.6617647058823529,0.75,45,7,23,1925
0.36,0.8653846153846154,0.6617647058823529,0.75,45,7,23,1925
0.37,0.8958333333333334,0.6323529411764706,0.7413793103448276,43,5,25,1927
0.38,0.8936170212765957,0.6176470588235294,0.7304347826086957,42,5,26,1927
0.39,0.8913043478260869,0.6029411764705882,0.7192982456140351,41,5,27,1927
